"","Arena","Arcilla","Limo","pH","MO","Al","B","Ca","CICE","Cu","Fe","K","Mg","Mn","P","S","Zn"
"1388",0.16,0.48,0.36,5.2,2,3.3,0.7,14.2,24.5,5,123,0.68,6.2,4,23,5,2
"1389",0.16,0.48,0.36,5.2,2,3.3,0.7,14.2,24.5,5,123,0.68,6.2,4,23,5,2
"1390",0.16,0.48,0.36,5.2,2,3.3,0.7,14.2,24.5,5,123,0.68,6.2,4,23,5,2
"1391",0.16,0.48,0.36,5.2,2,3.3,0.7,14.2,24.5,5,123,0.68,6.2,4,23,5,2
"1392",0.16,0.48,0.36,5.2,2,3.3,0.7,14.2,24.5,5,123,0.68,6.2,4,23,5,2
"1393",0.16,0.48,0.36,5.2,2,3.3,0.7,14.2,24.5,5,123,0.68,6.2,4,23,5,2
"1394",0.16,0.48,0.36,5.2,2,3.3,0.7,14.2,24.5,5,123,0.68,6.2,4,23,5,2
"1395",0.16,0.48,0.36,5.2,2,3.3,0.7,14.2,24.5,5,123,0.68,6.2,4,23,5,2
"1396",0.14,0.4,0.46,5.8,2.1,0,0.8,15.7,21.7,4,54,0.79,5.12,4,31,7,2
"1397",0.2,0.38,0.42,5.6,1.7,0,0.5,12.1,18.1,4,64,0.57,5.38,4,19,4,2
"1398",0.18,0.46,0.36,5.8,2,0,0.5,12.3,18.8,4,79,0.79,5.67,4,21,5,2
"1399",0.18,0.46,0.36,5.8,2,0,0.5,12.3,18.8,4,79,0.79,5.67,4,21,5,2
"1400",0.18,0.46,0.36,5.8,2,0,0.5,12.3,18.8,4,79,0.79,5.67,4,21,5,2
"1401",0.18,0.46,0.36,5.8,2,0,0.5,12.3,18.8,4,79,0.79,5.67,4,21,5,2
"1402",0.18,0.46,0.36,5.8,2,0,0.5,12.3,18.8,4,79,0.79,5.67,4,21,5,2
"1403",0.18,0.46,0.36,5.8,2,0,0.5,12.3,18.8,4,79,0.79,5.67,4,21,5,2
"1404",0.4,0.22,0.38,6.5,1.6,0,0.4,13.3,19.2,4,80,1.03,4.6,3,45,5,2
"1405",0.26,0.24,0.5,6.3,1.6,0,0.5,13.6,19.4,5,75,0.89,4.7,3,40,4,2
"1406",0.44,0.2,0.36,6.5,1.6,0,0.5,12.2,17.6,3,85,1.25,4.1,4,56,5,4
"1407",0.44,0.2,0.36,6.5,1.6,0,0.5,12.2,17.6,3,85,1.25,4.1,4,56,5,4
