"lote_evaluado","lotes_cercanos","distancias","ord_cercania","Arena","Arcilla","Limo","pH","MO","Al","B","Ca","CICE","Cu","Fe","K","Mg","Mn","P","S","Zn"
"43","1101",0.208084852350398,4,0.16,0.58,0.26,5.6,3,0,0.5,17.5,26.1,6,62,0.63,8,5,17,5,1
"43","857",0.208824818764567,5,0.18,0.5,0.32,5.7,2.4,0,0.5,17.7,25.3,6,80,0.73,6.9,7,7,7,2
"44","44",0,0,0,0,0,7.1,2.7,0,0.4,30,37.2,5,18,0.4,6.8,1,31,15,1
"44","1468",2.75151094189451,1,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"44","1469",2.75151094189451,2,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"44","1470",2.75151094189451,3,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"44","1471",2.75151094189451,4,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"44","1472",2.75151094189451,5,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"45","45",0,0,0,0,0,7.3,2.7,0,0.3,36,43,5,19,0.4,6.6,1,30,9,1
"45","1388",8.00526558464075,1,0.16,0.48,0.36,5.2,2,3.3,0.7,14.2,24.5,5,123,0.68,6.2,4,23,5,2
"45","1389",8.00526558464075,2,0.16,0.48,0.36,5.2,2,3.3,0.7,14.2,24.5,5,123,0.68,6.2,4,23,5,2
"45","1390",8.00526558464075,3,0.16,0.48,0.36,5.2,2,3.3,0.7,14.2,24.5,5,123,0.68,6.2,4,23,5,2
"45","1391",8.00526558464075,4,0.16,0.48,0.36,5.2,2,3.3,0.7,14.2,24.5,5,123,0.68,6.2,4,23,5,2
"45","1392",8.00526558464075,5,0.16,0.48,0.36,5.2,2,3.3,0.7,14.2,24.5,5,123,0.68,6.2,4,23,5,2
"46","46",0,0,0,0,0,7.1,2.3,0,0.24,18.2,23.3,4,32,0.56,4.5,3,34,11,1
"46","393",0.4294757628543,1,0.12,0.62,0.26,5.3,3.6,0.3,0.4,22,29.2,4.8,99,0.5,6.4,14,12,19,1
"46","1104",0.45299467524419,2,0.12,0.68,0.2,5.4,3.2,0.3,0.6,20.5,27.9,8,102,0.75,8.8,7,18,11,2
"46","1379",0.453244387213029,3,0.2,0.56,0.24,5.3,4.1,0.2,0.8,19.7,30.7,10,169,1.09,9.6,9,23,10,2
"46","1380",0.453244387213029,4,0.2,0.56,0.24,5.3,4.1,0.2,0.8,19.7,30.7,10,169,1.09,9.6,9,23,10,2
"46","1381",0.453244387213029,5,0.2,0.56,0.24,5.3,4.1,0.2,0.8,19.7,30.7,10,169,1.09,9.6,9,23,10,2
